text,sentiment
"@Graffitera23 qué hermoso!,es bueno desviar la mirada al cielo y a las nubes de vez en cuando,abajo está jodido.preciosa foto,mil abrazos ",P
Un saludo a mi crush del segundo semestre del 2016! Ya casi se acaba el año y dejará de ser mi crush y nada de que me dio pelota,N
"@guuatever @LeidiPonzonia @soychicabrit Fue el primer show de mi vida, tenía 14/15.",NEU
"Con todas las minas hermosas que hay, oportunidades cero",N
@RaulVCF__ ya y asi se va a quedar hasta que encuentre una de villa nueva en calidad ,N
"me gustaría volver a sentir q tu me miras, sentirse la única persona en tu vida, rozar tu cuerpo sin preocupación alguna y ver como me",P
@ron_quintanilla @belecastillo jajajaja cuando? Estoy súper full,NEU
Hay una gran parten de odio en mi,N
Estoy malito No quiero salir de mi camita.,N
"@Gloryagpem @karench0708 ayer andábamos por allá jaja, le diré que vayamos mañana a ver si me dejan gracias lindas",P
"@MonumentalCR buenos días, último día laboral, me voy a vacaciones una semana. Éxitos en sus vidas y que sean muy felices",P
@ViajerosAccion Jajajaja buena buena foto,P
"@Moguei @Begomix no tiene bastante con tener DOS puntos de salud, además está enamoradísima de la princesa y la princesa de la mala ",N
@tresciente a mí también; no lo he probado como para opinar,NEU
@Martiiibelieber hahaha se te extraña sucia,P
"Trataré de ser positiva este último mes, para que no me vaya tan mal como todo el maldito año",NEU
"#MisPropositosPara2017Son buscar un mejor amigo, necesito a alguien!? nadie?",N
@AlfonsoEmilioL La próxima vez que no vea lo entrevisto y pregunto que escucha.,NEU
"Me gustaría pensar que me están haciendo un bluffing, de esos que yo haría. Pero algo me dice que no es así",NEU
es bien raro no estar en la escuela a esta hora :c la neta sí extraño eso y apenas van dos días de clases jajajaja,N
"@cenizaplay Va perfecto entonces, ¡muchas gracias! ",P
"Cuando no sepas que hacer nada mas hagarra tu celular, unos audifonos y despeja tu mente!",P
"Toca ir a trabajar así me duela el tobillo, necesito el dinero ya que ahora es mi único ingreso.",NEU
Vine en bici a un curso de mi chamba en San Isidro. Genial...!! Solo mi pelo ha sufrido estragos. Pensare en algo para q mañana no suceda,NEU
El sueño mas hermoso que he tenido. #nomequeriadespertar,P
"Hoy a las 17hs en la 3F, cara a cara con generadores SD. Mañana a las 9hs en el 6° piso, coaching de apps SD. Los esperamos #GX26",NEU
@cherolero @DomesticoMX hola. Cuesta 80 y no importa la hora que llegues. Pero aprovecha por lo menos una horita,P
"Me siento tan inútil, pero bueno yo siempre he trabajo en las tareas pasadas",N
A estas horas la Av Javier prado libre #salgantodos,P
"@mariobautista_ Soy mala Bautister, no puse el 11:14",N
"Es worth para coger el bonus, pero es mucho más divertido luchar ",NEU
@PortalSB_UDLog @CDLaredo @CyDLeonesa estos por lo menos han visto 4 goles ,NEU
Entró a trabajar a la 1:30 p.m y yo en San Carlos Mi tío cree que voy a llegar puntual.,NEU
Hize mal en bañarme tarde.... #VideoMTV2016 @AbrahamMateoMus pero asi enfermita y todo siempre apoyandotee¡¡¡ *emoji enamorado* jiji,NEU
"@MauFonseca11 @PilarAcuna O regalar bombitas y escopetas para que cada ""american"" se defienda. Lindo",NEU
pasando un tarde hermosa en mercedes mirando la ciudad desde lo mas alto,P
"@SirRhosisRGL eso sí, hay raza que de verdad está súper jodida",N
@RufinaCamejo @mister__lemon @diego_vallarino Wrong. Desde 2005 hasta exactamente la primera vez en que pierda el FA,NEU
Un nuevo ciclo y con muchas cosas por realizar,NEU
@mczorro @Carlos_Chavez Ya sabes cómo me siento cuando tengo que cruzar media ciudad para ver una película,N
"Hoy es feriado y el trafico será menos, igual o mayor en Lima, allá vamos con Fe",NEU
#FelizMiercoles Mis Pequeños Amores Dios me los bendiga a todos y espero que todos sus sueños se hagan realidad,P
"@Carles_Garsia si y si no esta en el cajón de ropa que tengo que devolver, que como ha hecho mil de calor ya no me he apropiado de el:'(",N
@DianiDeMG ¡Qué bueno! Esas sorpresas emocionan,P
Me desperté pendejo nivel 3: No me traje dinero porque iba a traer lunch. Se me olvidó el lunch. Muero de hambre.,N
Putada lv se me jodió la ruedecita del ratón y bueno ,N
"@cuervotinelli @MathiCalfani lo mejor para vos De un fanático ""azulgrana"" (de la UA)Te lo merecés...Sos tan crack que zafaste del clásico",P
"Desperté casi a las 11:00 am. No me juzguen. Tengo el nombre de la princesa que estuvo dormida toda la película, ¿que esperaban?",NEU
Anto te extraño veni a cuidarme,NEU
Típico: Te levantas de noche para ir al baño y corres lo más veloz que puedes para que el fantasma no te alcance,NEU
@gracma hola nena tanto tiempo .como has estado?te cuento ? yo mas feliz no puedo estar hoy,P
lo malo es que faltaba su mid y acabaron haciendo remake ,N
@zophiap vaya manera de despedir este año... pero en otros lugares su bienvenida fue fatal,NEU
"Te extraño como nunca, y no te tengo como siempre.",N
@MateoFernandezE Esperare ese momento desde el Primer capitulo dije qué mateo es el indicado para la anita,P
"Hoy voy a que me hagan pava, pero estoy segura que de nuevo me van a decir ""Nana, NO, su frente es muy pequeña"". La historia de mi vida",N
@AlexXtrecci ya haz algo bueno,N
Yo si que odio recibir noticias así,N
ojala que te de un bloqueo mas grande que el de mi cel,N
Me duelen horrible los pies,N
"Iba a ir a dash pero mis 3 cortadas, mi color de piel (color langosta) y mis 5 horas de sueño en 2 días, no me lo permitieron.",N
"@fabriziobarth lo siento mucho. Pero si Facebook lo dice, es cierto. Sentido pésame...",N
"@CotoLau @AndreCorts yo también tuve los libros de AMP y no me convecieron :/, yo pasé los exámenes pero gracias a los exámenes viejos",NEU
@isachi8 gracias!!!!!! Washis estoy feliz y aprovechando todo lo q puedo gracias por los deseos y buena vibra. Un abrazote a la distancia,P
"Como te elicas algo que no viste venir, ¿Cómo?",NEU
Estoy terminando #GilmoreGirls para estar prontita para el 25 de noviembre...,NEU
"@cuervotinelli Papá estoy muy contento !! , voy hacer el curso de producción televisiva que dictarán @elchatoprada y @hoppefede , besos!!",P
"Momento #emprendedores en el Congreso de los Diputados ahora mismo. Siempre se cita a las startups, no a los innovadores sociales ",N
#ParaElProximoAñoPrometo ser consecuente con la dieta y el treno @Sr_Pelaez @Studio92 @joannabolona,NEU
Tengo un imán para los ADC retrasados ,NEU
Ultimamente estoy comiendo muchos macarrones... gracias Señor @marianorajoy sin ti esto no sería posible ,N
@Se_Wilk @CiutadansCs @PrensaCs @mrhciudadanos @AlfonsoRojoPD Gran capacidad de análisis de @InesArrimadas en esa entrevista. #visión ,P
@CelopanYT @RoEnLaRed estando tan cerca pero tan lejos a 45min de distancia siendo exactos. Jajajaja,P
Ya se que soy lo peor pero jo ,N
@joharoversi ja ja pero está precioso el condenado.,P
"Loco yo desde el sábado estoy pensando en lo divino que es el hermano de Vanesa Britos jajajaja, eu queria uma foto com ele nao com ela",P
@elchatoprada @hoppefede Buen día !!,P
"-Disculpe ¿Qué hora tiene? -Está equivocado señor, esta es una casa de empeño. -Lo sé pendejo, ahí empeñe mi reloj",P
Con un RT podrás ayudar a la asociación de robots con problemas psicomotrices de la Guardia Carmesí https://t.co/ViEV7ST79a,NEU
@DiegoPajaron @miguel_prat doble sub-campeón de Europa  algo es algo jaja,P
"@ProudlyARMY Y que las personas como el están desapareciendo... que los tiernos, dulces y amorosos no se encuentran todos los dias",N
"Por la mañana hazme saber de tu gran amor, porque en ti he puesto mi confianza. Salmos 143:8 Buen día a todos",P
"@KatiaCastorena Que tengas Excelente cobertura y excelente viaje, saludos también al Chicharito",P
@JesusSato27 veo el 50 cosas y me siento un fail porque sos un año más chico que yo y te recibiste de mil carreras Saludos de uruguay.,N
"¿nunca han soñado que estan apuñalando a alguien y al ver que la sangre brota les provoca más clavarle el cuchillo?,¿no?,¿Soy solo yo?",N
prometo ir más al cine y leer muchos libros que tengo pendientes,NEU
A todos se les antojo que les hablara a wpp o snap hoy y tengo que recordarles que mi cel esta roto,N
@eljabavinero @Jonatute Ojalá lo encuentres o que por lo menos lo haya agarrado una familia que le de amor.,P
"Nuevamente fin de semana, cada vez más rápido, ya casi termina el año.!!! Espero que dios le haya dado la mejor de las semana!!!",P
"@dane_ng A Ud. parece que sí, porque la educación que TODO MUNDO recibe por lo visto le choca de sobremanera.",N
Que bueno que este año no me propuse ser más puntual porque hubiera valido verga desde ahorita ya,N
"@cinthiaszc jaja es por un día!!! Pero es el último día del ciclo, mil reuniones con mi área becas y demás.",N
"El año pasado hice un vídeo llamado ""la evolución gráfica de halo"", tal vez haga lo mismo pero con gears of war",NEU
"@JessicaaaFranco yeah! yo lo intente but se veia todo oscuro, luego me dasanimé je...pero estaría bien que todo el fandom lo haga",NEU
"Un poquito de Ministerio del Tiempo y a dormir, que mañana hay que hacer muchas cosas Bona nit",P
@daphnella @goliveros @Tirodopolus las mejores tazitas en la vida yo tengo unos caballitos de tlaque,P
"@victorita_fest Si, justo ese que comi estaba tremendo. Bueno pasame la dir por interno",P
@lux_obrien jajaja enserio? a mi no me anda o bueno creo que no la se usar nose,NEU
súper luna llena significa que la gente va a andar loca por dos semanas a partir de hoy en la mañana. Let the Hunger Games begin!,N
"Me he dado cuenta que soy de emocionarme con cosas pequeñas, si no estuviera en la biblioteca estaría saltando de felicidad #Feliz",NEU
@cayusollo pues necesito un audio para el próximo episodio ¿te animas? ,NEU
"@HolaSoyBataa Pero interrumpiste en mi sueño, perdí el sueño en ese momento y gracias a ti no fui a trabajar porque me quede dormida",N
Mi niña que es tan inteligente me dijo esta mañana por teléfono: mamá que te vaya bien con el huracán. Dos días sin verla,NEU
@Manryev ¡Me alegra muchísimo que te gustara! Igualmente un placer saludarte La próxima que vengás a SJ avisá con tiempo y vamos por café,P
Tio a mi no me dejan viajar sola para ir a firmas ni a conciertos me mato  quiero ir a la de maluma @dios,N
@valk28 haaaaw siempre te voy a abrazar y a ponerte contenta muuuuuuuy contenta!! te quiero mi buhito moradito!!,P
Que me han dicho tantas veces odiosa que a veces creo que si lo soy pero naaah soy un amor,NEU
Super triste que mi amorcito ya este en Pachuca.,N
@PerezJoseAlb @Chelseaboni vamos! Quiero volver para el nuevo año 2018! será genial piénsenlo y me avisan!,P
@leeahistheway ya... ha sido muy grotesco por mi parte poner una foto de Ojeda a las 10:30. Perdona ,N
@Yuremonplsxd @PequeChikane Aquí habemos  me he saturado al leer eso idnwhy,N
"Voy a estar unos días desaparecida, me estoy quedando sin gigas jajajja  q vida + triste !!! Me voy al parque con los perros..",N
@Prifv @kabek no hemos ido a la cabra loca,NEU
No soy una eerta en la cocina pero lo poco que sé siempre me ah funcionado.,P
La verdad hoy fue una noche bastante aburrida espero poder salir mañana,N
Lo mejor de estas fechas es que con el frio vienen los suéters y con ellos solo tengo que planchar el 15% de la camisa... #NavidadGodin,P
"@junchyg16 puede ser pero en mi caso es por q los animales son mas fieles q el ser humano ,no traicionan ,no mienten y no hablan mal",NEU
"Le pedi a un par de amigos que calificaran su año y la mayoría fue 8, el mio está en 7 y pues que mierda pero tratare de tener uno mejor",N
A mi desayuno le hizo falta un alfajor podrida de las galletas de arroz,N
@victorita_fest te hice las caipis ayer y no fuiste,N
@KathyMagliano firme sería muy feo pero losbdos no pueden ganasr,N
@rubialvc @MirthaYudithOF @gizbetan eso fue único jejeje,NEU
@JCesarPL @GuidoBCor Faltaría. Pensaba en cómo se construyen los discursos y quiénes los emplean. Es un debate interesante. ,P
wawwwww siempre encuentro la modelo perfecta amo mi pasion de diseñar #javiercarbajaldiseñador #cdmx #atelierjaviercarbajal,P
Ya me dio nostalgia viendo tantos videos de clásicos antiguos,P
@ElDemonioAzteka prefiero la verdad por más dura que sea y no vivir en el engaño de la mentira !!! Te mando un beso desde Uruguay,NEU
"@efecuadros Yo soy tu sangre mi viejo, yooo, soy tu silencio y tu tiempo. Esta canción la cantaba todos los días de chiquita!",NEU
