text,sentiment
@AyD_ParaTi estoy registrado y no me llegan ni puedo pagar en linea ni nada dice que pagina en servicio,N
No todos son Imeldos navideños en esta época #Imelda #torta #queque #morado…,NEU
"@15Rossonero pues la verdad la gente dice que ""partidazo"" pero el marcador estuvo influenciado por el árbitro y tácticamente fue malo",N
"Extraño los tacos de ""El vaquero""",N
@dalasito2003 pero estaba en youtube igual twitch se me tranca todo,N
Envenenaron al Bruno Ya lo atendió el veterinario pero tengo miedo de que no aguante.,N
"@Tokpelotas estos últimos días han sido una detrás de otra. Ahora mismo nos vamos a La Fe a que miren a Pau, otra vez bronquitis ",N
¡También tenemos tradición #costarricense! Por supuesto! #Cajeta de leche con almendras! La más rica de todas!!…,P
@hanover07127260 que te mejores en un año eso es por jugar y ser goleador de la plazita,N
"@Libranorte te entiendo, toda mi vida me he sentido igual; pero siempre hay que ser fiel a uno mismo",NEU
"De mañana hasta el miércoles estaré de campamento, así que perdón si no respondo el MD, estoy inactiva, etc. Es que no dejan llevar compu",NEU
@Nifunifa4 Yo no trabajo ningun feriado,P
@jancarlobg A veces me siento sola,N
Putamare!!.. El tío gritó el gol en mi oído estando en el metropolitano!!.. Y lo peor es que yo asustado grité como jerma!!.. Quemadazo!,N
Hoy mi hermano se va a Italia y yo... no llego ni a chimilco ! quiero irme a las Europas de nuevo  !!!!,N
Vine a mi casa porque mis papás dicen que los tengo abandonados y me chantajearon con comida pero hoy iba para la playa en la noche,NEU
@lizbethCTorres bored jajaj o tal vez mi fuerte relación con netflix,NEU
JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,NEU
"@cuervotinelli Que descanses !!, Tqm ..., re lindo el programa de hoy @elchatoprada @hoppefede  !!",P
"Fue un bonito fin de semana cumpleañero : amigos, familia, torta, comida rica, juegos de mesa y muchas risas. Me siento bendecido y feliz",P
Quiero ser tu pesado favorito lo siento,NEU
"Que bonito debe ser vivir así, siendo caradura y sin pedir disculpas",N
@YoSoy_Peru la imitadora de Anita Santibañez canta igualito a la original viendo la Final,NEU
"@GhetsisD Hay que disfrutarla al màximo mientras pueda ,despuès se hacen grandes y vuelan Doc",NEU
"@gaby_mata25 La voz sepsi que debe tener Que dicha Gaby! Ya el lunes regresará ""con toda la pata""",P
No me quiero levantar aiuda,N
"Chiky en todos los eventos me dice ""Mae échame a una amiga tuya"" y nunca le he cumplido, soy una mala mejor amiga",N
@Zunga a mi solo me quedan 5...ya casi veo la Luz,P
@kiki_fiore Los freelancers pueden usar la cuenta básica de @workana que es gratuita y no deben pagar por trabajar,NEU
Las chicas ya van a salir estoy muy nerviosa y feliz que todo salga bien ⭐,NEU
Lo bueno de la vida es que te hace coincidir con personas realmente increíbles,P
"Me la paso haciendola de pedo a todos, por todo, que feo ser así.",N
@vivihbena ahhh pero ahí estaban las rubias -.- jajaja ( que mal que no se te quite),N
"En Curridabat muy calmado, ni una gota de agua y hasta caliente está 20°v... #nomegusta",N
@miradadelaluna @FinisimaPersona lo vi antes y pensé que era brom si yo fuera mejicano lo construía delante de Tejas  o más. Saludos.,N
"A pesar de nuestras limitaciones humanas, el Señor quiere obrar de maneras asombrosas a través de nuestras oraciones..",NEU
"#Windows10 qué mal me caes... @Microsoft Para abrir cualquier navegador o aplicación es tan lento, torpe e ineficiente que da pavor",N
@deprotti la ex novia de 30 vrs Sabina para finalmente aceptar que estas viejo,N
Resaca vete ya Mañana tengo que trabajar,NEU
Las 7 y cuarto y yo aquí ,NEU
Todavía no me he comido un maldito tamal,N
"@crampsattack fijo se me pierde, la vez pasada la encontré en la lavadora fumando rinso 1 semana",NEU
@Abby_Maff Jajajajajaja no es cierto no se que seria de mi vida sin esas cosas (mensajes),P
@YazarethPalomo te extraño tanto mi amor,P
@OneDayOfGlory tu ventilador me mira con cara seductora. ,P
No hay nada más bonito q separarse d una persona y q al tiempo t diga q t echa de menos... pero a mi no m va a pasar ,NEU
Y yo que creía que sólo Pachuca tenía este clima loco.,N
"@mister__lemon Seguro que tiene un sólo pulmón, como todo el mundo.",NEU
@xtrelok pero del practico ya? No me dijiste que hacías prácticas. ,N
@TartadeDurazno es lo que tiene ser un cereal ,NEU
@meLiKosha @sputnk no vi esto igual no podía hacer mucho,N
Ya no es tan divertido,N
@aoctaviop yo llegué cuando cerraban una gelatería: tooodos los sabores que quedaban... y una cuchara,NEU
En realidad no soy tan blanca ,NEU
@AntonellaMombru si igual si me vas a mostrar una foto no es nada pq prefiero las cosas saladas,NEU
Hay promociones para sesiones románticas durante Enero y Febrero #DaniaMaciel #GenerandoRecuerdos,NEU
"*Bueno, aflojando con el protector solar, voy a jugar al volley #Camiseta",NEU
"Plan familia a full, después una linda recorrida por Argentina. ¡Volvimos nuevos y contentos! ¡Viajar y tocar lo máximo!",P
"@iruri gracias, ya eran necesarias tras un duro año de trabajo  ¿has cogido tú ya?",P
"Tengo que aceptar que me esta hundiendo el consumismo con la nueva Macbook Pro, la Gopro Hero 5, el Gopro Karma y el Nintendo Switch",NEU
@FannyGEnguix estarás super mona  cuando pueda lo miraré yo también. Me molaría grupal de 'chicas Spidey',P
"Acabo de comprobar en Linkedin  si eras mi antiguo alumno, tengo un gran recuerdo @alexldguevara  Te deseo lo mejor @vlcextra",P
"Mi gata es tan desconciderada, pasa sus pequeños bigotes en mi cara para que despierte",N
Seré breve: quiero yuquitas y por mi chamba no venden,NEU
Esperando el metropolitano hace 26 minutos,N
Nos separan mas de 9KM y quieres JAJAJAJAJAJAJAJAJAJAJAJAJAJA Te juro que eres muy chistos@,P
"Sí es Shido ser fiel Yo sabía que lo era. Qué me pasó esas veces? O sea, fue desde mi primer novio en CCH...",P
"@eebenitez_ Jajaja es muy triste esto, pero ya hoy consigo otro",P
"No, solo quiero bailarte la medusa loca en privado  @GuiasTacticasES",P
@NoilyMV yo soy totalmente puntual,NEU
Me aso  santander estaba mejor,N
@yahirmusic ya estaba bien preparada para ir a verte hoy pero primero está la seguridad Espero que puedan reprogramarlo muy pronto,NEU
"!! Yo solía amarla,Yo sabía que la echaría de menos !! #GNR   Empezando El Dia Griss",NEU
Hazme un favor y has lo posible por no cruzarte conmigo este año,NEU
"Recorrí toda la ciudad en un dia con mi mejor amigo, que trip",P
@somosciclismo Son las grandes promesas nuestras,NEU
"Desde que tengo uso de razón todos mis fin de año han sido en casa de mi abuelita, este año será distinto y triste, te extraño tanto abu",N
