text,sentiment
"@Jorge_LBU Espero que te mejores pronto, vomitar es muy desagradable ",N
@ClubPaniniMx @PaniniComicsMx genial espero que algun dia sacan uno de bleach y fairy tail,NEU
kali uchis va a estar en bahidorá,NEU
"@ferdiazgil @FranDguez sí, lo he leído ese templo grande es el que he puesto en IG. Ha perdido su parte superior y está inaccesible",N
@AbrahamMateoESP Exacto! Todo lo que él hace lo hace con el corazón y desde el corazón,NEU
"Soy de esos que, aún cuando la comida esté lista y tenga hambre, si no me sirven me da pereza y no como",NEU
"Dios me ha sorprendido en esta semana,una caja de cafe,cosas de la tesis,vienen cosas mejores ya sige lo de mi maestría,y una ELLA,jajaja",P
"@itsshirrley hizo un tiempazo en una ruta desafiante, ¡felicidades! Es muy muy campeona ️",P
@Soria2504 Jaja yo lloré cuando se muere María jajaja. Cuando le lleva serenata es lo más hermoso de la vida&gt;&gt;&gt;&gt;&gt;&gt;,P
"Por rockear como loco ayer , quedé con la garganta mal y la nuca adolorida , a pesar de ello el metal si q me logró desestrezar mucho",NEU
Por qué tiene que ser mi pelo tan goals mojado y tan mierda despues ,N
"@adrinavarro @jorx y faltaria conocer la config del ONT, que aunque no sea mas que un conversor de medio, algo lleva. No es facil esa ",N
@lourdesanchezok Dios te lo bendiga,P
Me alegro mucho por vosotros! Sois una familia ideal  @mola_viajar aqui v si es niño Erik y si es niña Esther jaja,P
No #SoyUnicoPorque mi DNI dice que hay 5 personas que se llaman igual okno . Soy único porque soy como soy con mis errores y virtudes,NEU
Rodrigo es malo me deja sola una semana,N
".....el que confía, el que ayuda, el que ama de corazón. Ser feliz con uno mismo no es tan difícil, no dejes qie los demás te roben eso",NEU
"Cada vez que veo una moto de Correos de Costa Rica, yo soy como: «Señor, ¿no lleva algo ahí con mi nombre?» Ahorita llega, ahorita llega.",NEU
"@PALMERPATO Que lindo ""mundo""ése entre la profe de teatroa los 22,23,aue lindo....""nostalgias""",P
"Papá: vamos al beis Hijos: SIIII Mamá: no, vamos al cine Papá: al cabo que ni ganas de ir al beis tenia, que función quieres? Hijos:",NEU
"@EstherSwaggy ¿haces también la misma carrera? Jo, igual de una comunidad a otra cambian, be positive ",NEU
"@quijanojor jjajajaja. Mi segundo amor es Rampla, el equipo de mi papá querido... Gte de barrio, obreros, flia.",P
@AbrahamIbaniez exacto! Cómo va todo por allá?,NEU
@EskizoSirenita hay que ser mala persiana para quitarte esa diversion ,N
Feo mismo es dejar de hablar con aquella persona q pasabas día y noche hablando,N
La Esteban promocionando el concierto de Estopa en Leganes...Que empiecen las bromas sin gracia sobre lo barriobajeres que somos todes ,N
"@fer_zamruv Me late la idea Fer, ¿qué día puedes? mil gracias, que tu semestre también sea bien bonito, disfrútalo mucho...",P
Yo solo lo queria a elll asasasasasa,N
"@DikanaMai Antes me lío con Garrus siendo un tío en Mass Effect 1  No es mal partido, tiene un buen puesto, es divertido, además guapo ",P
@Santicr10 @Juandi_SC Se lo juro que iría si no fuera noche vieja. Pero tengo que salir a comprar porque hoy hago cena yo gracias Santi,NEU
Estoy feliz xq esta lloviendo,P
@Duke_apologia ? Este Tweet no está disponible. dice q el link no existe ,N
"@CheLa_is Marcelitaaa, aprovecha nuestro hermoso clima. No sabes cuánto se extraña",P
"@Maluavi @edmed82 @figuerescr invitadísimo a hacer las cosas diferente, hay que involucrarse y dar espacios a la mejor gente.",NEU
Pensar en esa posibilidad nada mas me parte al medio y no quiero saber si llega a ser asi como me puedo llegar a poner,N
"@HECTORYEMMI Feliz Cumple que tengas un hermoso dia ,como todos los dias de tu vida",P
@AndreaVasRo Lo es. Sin ningún respeto al dolor ajeno,N
@mister__lemon Me parece que está prohibida la importación. Debe ser como la marihuana. Podés usar pero no comprar @progresismouy,NEU
"@Maceji87 sorry x el delay, pero el app arranca cuando quiere...Abrimos de Lunes a Sábado a las 6pm",NEU
"No es que me volví ""ANTISOCIAL"", eso nunca, solo que por respeto a mis criterios y lógicas me volví un ""ANTIALGUNASPERSONAS"" nada mas",NEU
Que situación espantosa la que acabo de pasar,N
"Hoy es noche buena? Buena o navidad? Buena navidad! ah si paty, paty? Si pâti navidad, que rica como para una noche buena, merde",P
